Nota,Título,Comentário
5,Muito bom!,"Além de ter atualizações incríveis o jogo te incentiva a superar os limites. 
Único ruim no meu iPad é que trava muito nos anúncios. Fora isto, adoro jogar."
5,Amo!,Eu amo
5,Ótimo,👍👍👍
5,Adoro,Viciante
5,Gabriel,"Muito legal , e um ótimo passatempo"
5,Amo,Melhor jogo
5,❤️,❤️
5,Top,Jogo muito bom!
5,❤️,"Amo o jogo. Às vezes me estresso com algum bug, mas não da pra parar de jogar. Amo demais!"
5,Sensacional ❤️,Super indico.
5,Muito bom,Bom
5,maravilhoso,melhor jogo do mundo
5,Candy crush,"Muito bom, viciante"
5,Ótimo,Jogo viciante que amo
5,Top,Muito bom
4,Ótimo,Muito bom!
5,Estou falando de vício. Kkkkk,Viciada nesse jogo. Amo demais.
5,Mto bom,Adoro
5,Top,Gostei muito top
5,Adoro esse jogo!,Muitas novidades e um passatempo muito divertido!
5,Muito bom jogo,O jogo esta muito mas ao longo do tempo fica um pouco tedioso
4,lol,Bem divertido para se passar o tempo
5,O Rei das Galáxias,Se existe um pica das galáxias esse jogo é uma moinho de rola.
5,Great,Good game!
5,Muito bom,Gostando
5,Ótimo jogo,😻ótimo
5,CandyLover,Vício!!
5,Amo,Amo demais!!! Pena que as vidas demoram tanto pra recarregarem! 😭
5,Vanessa Freitas,"Otimo app, varias fases e muito interativo"
4,Adorooooo,10
5,Ótimo jogo,Muito bem feito
5,Ululante,Ushsujaka
5,Amo,O jogo
5,Muito bom,Vale a pena baixar !
5,Amoooo,Bom demais
5,Toooop,O mais top
5,Show,Gostei muito!
5,E muito bom gente,Ele faz a gente ficar desestressar
5,viciante,muito viciante
5,Viciante,Melhor Jogo❤️
5,adoro ♥️,é um ótimo passa tempo sempre joguei e amo 🥰❤️❤️
5,Muito bom!,Estimula o raciocínio.
5,Ótimo,Muito bom para distrair
5,Ótimo,Muito legal e anti estresse mesmo.
5,Top demais,Top demais
5,pratico e fácil,Um ótimo passa tempo! Amo.
5,Muito bom,Funciona muito bem! Mesmo qdo esta sem internet
5,Top,Melhor jogo pra passar tempo
4,Adoroooo,Adoroooo
5,Mlr jogo,Amei ❤️❤️❤️❤️
5,Amo,Viciooo
5,❤️,Muito bom e divertido
5,Melhor jogo,"Ótimo, jogabilidade excelente"
5,Opinião,Bom que nem doce hehehe
5,Amo!!!!,Amo!!!!
5,Bom,Jogo show
5,Viciante,Parabens
5,Melhor jogo de todos,-||-
4,Bom,Bom
5,Jogo de bela criatividade!,Jogo ta mais interessante agora!
5,Adorei,Comecei a jogar e não consigo parar é muito legal
5,Ótimo,Ótimo passatempo
5,Show,O melhor!
5,Amo demais,Impossível jogar apenas um nível !! Amo demais
2,Não respondem,"Já é a segunda vez essa semana que meus boosters somem, absolutamente todos, tinha mais de 50 e meu estoque está zerado. Já tentei contactar o suporte do app por todos as plataformas e não tive nenhuma resposta. Como fica quem e lesionado com esse sumiço repentino?? Sendo que em nenhum lugar existe resposta. O app é maravilhoso, espero não ter que parar de jogar. Sempre indico o jogo é quando resolverem meu problema volto aqui e mudo a avaliação!"
4,Muito bom,Esse jogo é viciante
3,Bom jogo,Muita propaganda!
5,Excelente jogo,Muito bom
5,Agaugustta,Jogo bom demais
5,Muito topppp,"O joga mais legal,baixem é muito bom"
5,iphone 6 plus,ótimo jogo !!!
5,Bom,Bom
5,Melhor Jogo!!!!,Ótimo jogo para passa tempos!!
5,muito bom,serasse eu to viciada?
5,Melhor jogo,"Viciante, bom demais !!!!"
5,Muito bom o jogo eu adorei,Bem legal
5,Candy,Viciante!!! 🤣😍
4,Muito bom,Toop
5,Viciei,Adoro esse jogo estou viciado
5,Ótimo,Muito bom
5,Top demai,Jogo incrível
5,Excelente !!,"Não consigo parar de jogar, muito bom!!"
5,Fica,Tranquileba
5,Bom jogo,Ótimo jogo não paro mais de jogar
1,Estresse,Vocês fazem o jogo pra relaxar mas bota umas fases difícil e com poucas vidas!! Eu não saiu da fase 105 porque só tem míseras vidassss eu to muito estressada
5,Maravilhoso,Dou 5 estrelas
5,Ótimo,Bom
5,Divertido,Legal
4,Bom,Bom
5,Melhor jogo,Me distraio bastante
5,Melhor jogo EVER,Jogo super divertido! Melhor jogo que eu já joguei nos últimos tempos!!!
5,Perfeito,Perfeição extrema
5,Excelente,Jogo muito bom
5,Oromo,Excellent jogs
5,mmmmmmjugvb,hugji
5,Melhor jogo do mundo,Mt boooooom
5,Viciante,"Jogo te vicia, não fico sem jogar 1 dia"
5,Melhor jogo ( viciante),Amuuu d+
5,Legal,Muito bom
5,Viciante,Adoro jogar e relaxar
4,Nao gostei,Não gostei da nova atualização que não difere quem pede vida para quem dia vida!!
5,Viciante,Como parar de jogar esse troço?
5,Melhor jogo,Amo esse jogo! Me desestressa e as vezes stressa
4,Muito bom,Adoroooo
5,"Não baixe, vicia!!!","Muito bom para passar o tempo, porém vicia."
5,Amo,Esse é o melhor jogo da vida 😍😍
5,Meu jogo favorito,Viciante!! Adoro!
5,Amo muito 🥰,Amo jogar
5,Sensacional!,Jogo incrível
5,Massa Miojo Nissin,Massa
5,Entretenimento,Maravilhoso
5,Melhor jogo,Muito boooooommmmm e divertidos . Melhor jogo !!!! Gosto bastanteee !!!
5,Ótimo,Melhor jogo
4,Topsom,Topster
5,Top,Top
3,Viciante,🙈
5,Melhor jogo,Jogo maravilhoso!
5,Vanessaabrao,❤️!
5,Passa-Tempo,Excelente para passar o tempo
5,Ótimo,Muito bom
5,Adoro,Bom amo
5,Kariny cavalcante,Muito bom esse jogo
5,Muito viciante!,Melhor jogo de todos.
5,O melhor,Jogo viciante demais 😍😍😍
5,Top,Muito bom
5,Mt bom,Bom demais
5,Ótimo jogo,Muito divertido
5,Show!,Melhor passa
5,Ótimo,Muito bom!!!!
5,Muito bom!!!,10
5,Muito bom,Sou viciada nesse jogo melhor do mundoooo
5,Uma diversao,Divertido!!!
5,Candy,"Ótimo jogo, recomendo!"
5,Avaliação,Melhor passatempo
5,Adoro!!,"Amo demais 
Cada vez melhor"
5,mt bom,mt bom
4,Bom jogo,Divertido
5,Top,Muito bom
5,Candyvicio,Viciante
5,Excelente jogo,Muito bom para descontrair.
3,Muito bom mas poderia ser Ótimo,Não deveria ter limite de vida! Acho muito desnecessário esperar meia hora por vida pra conseguir jogar
5,Massa,Top
5,Candy Crush,Muito bom e viciante !!!
5,Amoooooo,"esse é o melhor jogo de todos 
#Amo_de_paixao"
5,Legal,Ótimo
5,Muito bom!,"Acabei viciada nesse jogo
Muito bom mesmo, vale a pena baixar ele!
Adorooooo"
5,Perfeito!,Perfeito pra horas de relax!
